Date;Value
2024-12-27;939.70
2025-01-03;916.58
2025-01-10;936.94
2025-01-17;943.19
2025-01-24;939.68
2025-01-31;979.88
2025-02-07;1043.81
2025-02-14;1071.85
2025-02-21;1035.03
2025-02-28;1048.61
2025-03-07;964.31
2025-03-14;903.92
2025-03-21;909.26
2025-03-28;929.66
2025-04-04;916.48
2025-04-11;963.41
2025-04-18;994.50
2025-04-25;977.16
2025-05-02;1008.30
2025-05-09;1008.09
